estacion,n_anios,anio_ini,anio_fin,d_tx30_sen_dec,d_tx30_p,d_tx30_salto,d_tx32_sen_dec,d_tx32_p,d_tx32_salto,d_tx35_sen_dec,d_tx35_p,d_tx35_salto,tx_p99_sen_dec,tx_p99_p,tx_p99_salto,tx_verano_sen_dec,tx_verano_p,tx_verano_salto,noches_trop_sen_dec,noches_trop_p,noches_trop_salto,tmean_sen_dec,tmean_p,tmean_salto,d_helada_sen_dec,d_helada_p,d_helada_salto,hx_p99_sen_dec,hx_p99_p,hx_p99_salto,d_hx35_sen_dec,d_hx35_p,d_hx35_salto,id,concello,provincia,lat,lon,alt
10126,16,2010,2025,0.0,0.7148,0.0,0.0,0.814,0.12,0.0,0.7366,0.12,-0.121,0.9647,0.2,0.453,0.5643,0.14,0.0,0.6755,0.25,0.506,0.0517,0.33,0.0,,0.0,-0.214,0.9226,-1.13,1.111,0.6534,-2.43,10126,BUEU,Pontevedra,42.382084,-8.936188,121.0
10127,16,2010,2025,-6.125,0.2589,-3.75,-3.667,0.3646,-2.12,-0.917,0.5219,-0.38,-0.756,0.4503,-0.28,0.579,0.5056,-0.01,0.333,0.0709,0.88,0.624,0.0641,0.3,0.0,0.561,-0.38,0.793,0.5056,1.73,4.306,0.3209,7.75,10127,CALDAS DE REIS,Pontevedra,42.595306,-8.618997,268.0
10129,16,2010,2025,0.714,0.9641,0.0,0.0,0.5419,1.5,0.0,0.9627,-0.38,-0.028,0.9647,0.04,0.975,0.0788,0.33,0.0,0.7358,0.12,0.725,0.0255,0.34,0.0,0.7366,-0.12,2.264,0.0788,1.3,5.357,0.4158,3.0,10129,SANXENXO,Pontevedra,42.40308,-8.798792,34.0
10130,16,2010,2025,0.0,0.006,1.5,0.0,,0.0,0.0,,0.0,1.351,0.1949,0.71,1.114,0.1653,0.46,0.0,0.0241,1.0,0.619,0.0517,0.28,-15.222,0.1912,-6.88,2.064,0.1395,1.17,0.0,0.0894,0.25,10130,CARBALLEDA DE VALDEORRAS,Ourense,42.375187,-6.783357,1620.0
10131,16,2010,2025,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.308,0.116,0.88,1.449,0.1653,0.68,0.0,0.2039,0.62,1.012,0.0046,0.61,-26.515,0.0268,-17.75,2.369,0.0255,1.44,0.0,,0.0,10131,MANZANEDA,Ourense,42.26016,-7.298315,1758.0
10132,16,2010,2025,3.485,0.1018,3.12,2.0,0.0111,2.5,0.0,0.329,0.12,1.868,0.096,0.93,1.798,0.0255,0.84,0.0,0.384,0.38,1.148,0.0033,0.71,-31.385,0.0132,-18.75,3.825,0.0008,2.98,18.571,0.0054,12.09,10132,PEDRAFITA DO CEBREIRO,Lugo,42.707104,-7.047078,1310.0
10133,15,2011,2025,1.667,0.2092,-0.29,0.0,0.493,-0.91,0.0,0.6672,0.04,-0.159,0.9226,-0.7,1.753,0.0359,0.7,1.0,0.6537,0.32,1.365,0.0114,0.94,-4.286,0.0095,-4.73,3.71,0.0155,1.41,8.571,0.0283,4.77,10133,CUNTIS,Pontevedra,42.675583,-8.586177,715.0
10134,16,2010,2025,-1.833,0.1399,-1.5,0.0,0.8791,0.0,0.0,0.329,0.12,-0.911,0.116,-0.92,0.627,0.265,0.2,0.0,0.6755,0.12,0.427,0.139,0.16,0.0,,0.0,0.598,0.7566,0.21,0.455,0.7158,0.12,10134,RIBEIRA,A Coruña,42.47135,-9.005851,21.0
10135,15,2011,2025,2.5,0.3447,0.14,1.25,0.3362,0.04,0.0,0.8463,0.05,1.358,0.1686,0.6,1.425,0.0359,0.54,0.0,0.763,-0.21,0.914,0.0029,0.53,0.0,,0.0,3.24,0.0208,1.93,10.0,0.0329,3.2,10135,CARNOTA,A Coruña,42.795036,-9.126011,170.0
10136,16,2010,2025,4.451,0.1604,3.0,3.038,0.0433,2.62,0.0,0.0408,0.62,2.179,0.0198,1.59,1.412,0.0086,0.87,0.0,0.7391,0.0,0.982,0.0024,0.64,-8.333,0.123,-5.12,3.428,0.0086,2.27,5.5,0.4704,5.12,10136,A FONSAGRADA,Lugo,43.17712,-7.047859,789.0
