lat,lon,tx_verano_clim,tx_verano_tend,tx_p99_clim,tx_p99_tend
42.375,-8.436,23.13,0.274,30.9,0.439
42.377,-8.368,21.96,0.266,29.38,0.425
42.378,-8.3,22.61,0.271,30.08,0.419
42.379,-8.233,24.7,0.287,32.36,0.456
42.38,-8.165,26.52,0.285,33.9,0.447
42.382,-8.097,27.18,0.288,34.4,0.453
42.383,-8.03,27.06,0.296,34.36,0.451
42.384,-7.962,27.08,0.296,34.34,0.438
42.385,-7.895,27.5,0.297,34.65,0.447
42.386,-7.827,27.51,0.299,34.68,0.434
42.387,-7.759,26.24,0.293,33.57,0.406
42.388,-7.692,25.0,0.263,32.4,0.355
42.389,-7.624,24.67,0.261,31.98,0.35
42.39,-7.556,25.37,0.264,32.7,0.346
42.391,-7.489,25.81,0.268,33.11,0.34
42.392,-7.421,25.29,0.258,32.46,0.329
42.392,-7.353,24.7,0.258,31.7,0.36
42.393,-7.286,25.41,0.261,32.49,0.334
42.394,-7.218,26.71,0.267,33.91,0.327
42.395,-7.15,27.63,0.27,34.8,0.331
42.395,-7.083,26.56,0.26,33.58,0.328
42.396,-7.015,25.8,0.253,32.62,0.361
42.396,-6.947,25.9,0.251,32.69,0.349
42.397,-6.88,26.19,0.251,32.99,0.341
42.397,-6.812,25.34,0.254,32.01,0.363
42.398,-6.744,24.47,0.247,30.97,0.398
42.398,-6.677,23.97,0.227,30.41,0.365
42.398,-6.609,22.57,0.156,29.09,0.279
42.399,-6.541,20.77,0.043,27.34,0.159
42.416,-8.843,24.1,0.222,31.03,0.378
42.418,-8.776,23.93,0.227,31.1,0.396
42.421,-8.64,25.66,0.245,32.89,0.416
42.422,-8.573,25.46,0.252,32.85,0.428
42.424,-8.505,24.4,0.266,32.18,0.423
42.425,-8.437,22.82,0.267,30.59,0.444
42.426,-8.37,22.06,0.26,29.55,0.436
42.428,-8.302,22.84,0.263,30.39,0.429
42.429,-8.234,24.63,0.283,32.29,0.439
42.43,-8.167,25.7,0.29,33.26,0.459
42.432,-8.099,26.13,0.289,33.62,0.455
42.433,-8.031,26.18,0.292,33.65,0.44
42.434,-7.964,26.31,0.293,33.77,0.438
42.435,-7.896,26.45,0.293,33.84,0.427
42.436,-7.828,26.45,0.284,33.81,0.419
42.437,-7.761,26.2,0.29,33.57,0.394
42.438,-7.693,25.95,0.282,33.35,0.37
42.439,-7.625,26.26,0.286,33.6,0.367
42.44,-7.557,26.69,0.273,33.95,0.371
42.441,-7.49,26.57,0.271,33.86,0.349
42.441,-7.422,25.75,0.267,33.04,0.313
42.442,-7.354,25.8,0.255,33.01,0.307
42.443,-7.287,26.19,0.261,33.39,0.312
42.444,-7.219,26.6,0.259,33.76,0.313
42.444,-7.151,26.18,0.251,33.22,0.323
42.445,-7.084,25.93,0.252,32.81,0.356
42.446,-7.016,26.09,0.25,32.93,0.348
42.446,-6.948,27.18,0.244,34.14,0.318
42.447,-6.88,27.77,0.242,34.74,0.3
42.447,-6.813,27.24,0.24,34.16,0.293
42.448,-6.745,26.53,0.245,33.27,0.344
42.448,-6.677,24.91,0.247,31.38,0.381
42.448,-6.609,23.66,0.207,30.12,0.358
42.449,-6.542,22.58,0.157,29.12,0.291
42.465,-8.913,22.78,0.212,29.54,0.355
42.468,-8.778,24.89,0.223,31.98,0.395
42.469,-8.71,25.19,0.229,32.37,0.415
42.471,-8.642,25.64,0.241,32.82,0.418
42.472,-8.575,25.28,0.25,32.67,0.427
42.474,-8.507,24.2,0.261,32.0,0.424
42.475,-8.439,22.91,0.257,30.75,0.431
42.477,-8.372,22.31,0.253,29.94,0.433
42.478,-8.304,22.63,0.255,30.19,0.419
42.479,-8.236,23.43,0.263,31.02,0.417
42.48,-8.168,24.23,0.273,31.82,0.41
42.481,-8.101,24.63,0.274,32.22,0.41
42.483,-8.033,24.75,0.274,32.3,0.405
42.484,-7.965,24.8,0.271,32.33,0.382
42.485,-7.897,24.86,0.268,32.37,0.378
42.486,-7.83,25.05,0.267,32.53,0.363
42.487,-7.762,25.48,0.276,32.91,0.372
42.488,-7.694,25.95,0.285,33.27,0.383
42.489,-7.626,26.87,0.275,34.01,0.395
42.49,-7.559,27.01,0.268,34.07,0.401
42.491,-7.491,27.01,0.266,34.23,0.368
42.492,-7.423,26.51,0.265,33.82,0.326
42.492,-7.355,26.45,0.262,33.74,0.319
42.493,-7.288,26.44,0.259,33.69,0.311
42.494,-7.22,25.8,0.243,32.91,0.313
42.494,-7.152,24.53,0.236,31.34,0.35
42.495,-7.084,23.84,0.227,30.51,0.375
42.496,-7.017,24.38,0.238,31.05,0.375
42.496,-6.949,26.03,0.243,32.85,0.333
42.497,-6.881,27.56,0.235,34.55,0.297
42.497,-6.813,27.52,0.231,34.48,0.298
42.498,-6.746,27.76,0.233,34.68,0.294
42.498,-6.678,26.72,0.239,33.46,0.314
42.498,-6.61,26.14,0.245,32.72,0.346
42.499,-6.542,25.49,0.248,31.96,0.364
42.518,-8.78,25.19,0.227,32.09,0.372
42.519,-8.712,25.35,0.225,32.4,0.397
42.521,-8.644,25.39,0.236,32.53,0.407
42.522,-8.577,25.03,0.248,32.45,0.437
42.524,-8.509,24.07,0.261,31.86,0.417
42.525,-8.441,23.21,0.26,31.08,0.418
42.526,-8.373,22.68,0.249,30.42,0.434
42.528,-8.306,22.44,0.242,30.03,0.407
42.529,-8.238,22.68,0.243,30.24,0.396
42.53,-8.17,23.31,0.245,30.88,0.396
42.532,-8.102,23.68,0.252,31.25,0.385
42.533,-8.034,23.66,0.249,31.17,0.371
42.534,-7.967,23.47,0.251,30.9,0.369
42.535,-7.899,23.6,0.252,31.02,0.356
42.536,-7.831,24.14,0.255,31.61,0.35
42.537,-7.763,25.03,0.263,32.49,0.36
42.538,-7.695,24.84,0.272,32.29,0.365
42.539,-7.628,26.26,0.267,33.49,0.373
42.54,-7.56,26.67,0.261,33.73,0.398
42.541,-7.492,27.1,0.258,34.16,0.391
42.541,-7.424,26.93,0.257,34.16,0.338
42.542,-7.356,26.31,0.256,33.61,0.309
42.543,-7.289,25.72,0.239,32.95,0.299
42.544,-7.221,24.89,0.235,31.89,0.315
42.544,-7.153,23.64,0.221,30.4,0.36
42.545,-7.085,22.77,0.185,29.41,0.362
42.546,-7.017,23.33,0.194,29.94,0.361
42.546,-6.95,24.79,0.234,31.41,0.365
42.547,-6.882,26.48,0.232,33.35,0.3
42.547,-6.814,27.58,0.229,34.54,0.291
42.548,-6.746,28.03,0.225,34.94,0.299
42.548,-6.678,27.97,0.222,34.86,0.288
42.548,-6.61,27.78,0.216,34.64,0.283
42.549,-6.543,27.09,0.226,33.84,0.281
42.563,-8.986,23.29,0.199,29.91,0.34
42.568,-8.782,25.3,0.221,31.91,0.349
42.569,-8.714,25.5,0.226,32.37,0.379
42.571,-8.647,25.32,0.228,32.42,0.404
42.572,-8.579,24.57,0.249,32.01,0.437
42.574,-8.511,23.7,0.25,31.52,0.413
42.575,-8.443,23.09,0.248,30.97,0.417
42.576,-8.375,22.61,0.243,30.38,0.417
42.578,-8.307,22.34,0.233,29.98,0.404
42.579,-8.24,22.67,0.234,30.28,0.399
42.58,-8.172,23.36,0.247,30.98,0.379
42.581,-8.104,23.54,0.245,31.15,0.378
42.583,-8.036,23.14,0.239,30.65,0.368
42.584,-7.968,22.6,0.232,29.95,0.367
42.585,-7.9,22.95,0.239,30.3,0.358
42.586,-7.832,24.01,0.247,31.49,0.339
42.587,-7.765,25.06,0.259,32.53,0.362
42.588,-7.697,25.38,0.264,32.79,0.361
42.589,-7.629,25.48,0.259,32.86,0.354
42.59,-7.561,26.13,0.257,33.41,0.348
42.591,-7.493,26.96,0.252,34.06,0.365
42.592,-7.425,26.53,0.252,33.74,0.333
42.592,-7.357,25.5,0.238,32.8,0.296
42.593,-7.29,24.33,0.23,31.39,0.317
42.594,-7.222,23.94,0.218,30.81,0.334
42.594,-7.154,23.33,0.207,30.07,0.36
42.595,-7.086,22.6,0.17,29.24,0.349
42.596,-7.018,22.77,0.177,29.36,0.352
42.596,-6.95,24.07,0.219,30.69,0.365
42.597,-6.882,25.53,0.23,32.32,0.31
42.597,-6.815,26.92,0.226,33.85,0.281
42.598,-6.747,27.67,0.216,34.61,0.279
42.598,-6.679,28.32,0.216,35.23,0.284
42.598,-6.611,27.81,0.211,34.71,0.27
42.599,-6.543,27.29,0.214,34.09,0.269
42.611,-9.056,22.63,0.187,29.49,0.363
42.613,-8.988,23.86,0.192,30.89,0.384
42.619,-8.716,25.13,0.221,31.87,0.365
42.621,-8.649,24.96,0.222,32.06,0.415
42.622,-8.581,24.33,0.237,31.76,0.43
42.624,-8.513,23.74,0.243,31.52,0.425
42.625,-8.445,23.12,0.247,30.99,0.411
42.626,-8.377,22.55,0.239,30.34,0.409
42.628,-8.309,22.49,0.237,30.19,0.396
42.629,-8.241,23.18,0.244,30.88,0.396
42.63,-8.173,23.83,0.25,31.5,0.395
42.632,-8.105,23.66,0.246,31.29,0.386
42.633,-8.038,23.2,0.23,30.79,0.36
42.634,-7.97,22.66,0.227,30.09,0.352
42.635,-7.902,22.81,0.229,30.22,0.346
42.636,-7.834,24.0,0.242,31.51,0.341
42.637,-7.766,25.09,0.258,32.51,0.373
42.638,-7.698,25.23,0.256,32.64,0.36
42.639,-7.63,24.89,0.239,32.34,0.315
42.64,-7.562,25.14,0.24,32.57,0.313
42.641,-7.494,25.87,0.252,33.21,0.312
42.642,-7.426,25.78,0.249,33.1,0.311
42.642,-7.359,24.59,0.224,31.83,0.289
42.643,-7.291,23.3,0.207,30.21,0.333
42.644,-7.223,22.86,0.192,29.66,0.354
42.644,-7.155,22.81,0.182,29.53,0.343
42.645,-7.087,22.53,0.172,29.18,0.338
42.646,-7.019,22.86,0.18,29.48,0.342
42.646,-6.951,24.09,0.212,30.71,0.348
42.647,-6.883,25.28,0.229,31.98,0.313
42.647,-6.815,26.38,0.223,33.21,0.289
42.648,-6.747,27.14,0.219,34.04,0.28
42.648,-6.679,27.42,0.216,34.3,0.279
42.648,-6.611,26.93,0.216,33.74,0.283
42.649,-6.543,26.33,0.217,33.05,0.288
42.663,-8.99,23.23,0.193,30.57,0.382
42.664,-8.922,23.49,0.197,30.85,0.399
42.666,-8.854,24.0,0.202,30.94,0.386
42.668,-8.786,24.45,0.216,31.04,0.348
42.669,-8.719,24.98,0.22,31.64,0.377
42.671,-8.651,24.75,0.216,31.77,0.408
42.672,-8.583,24.38,0.229,31.63,0.426
42.674,-8.515,24.3,0.234,31.77,0.423
42.675,-8.447,23.76,0.244,31.46,0.429
42.676,-8.379,23.29,0.243,31.09,0.408
42.678,-8.311,23.18,0.241,30.95,0.412
42.679,-8.243,23.7,0.25,31.4,0.404
