idema,anio,n,tx_p99,tx_max,d_tx30,d_tx32,n_verano,tx_verano,tmed,nombre
1428,2010,358,32.543,34.5,14.0,6.0,91,24.06153846153846,12.488547486033518,Santiago De Compostela Aeropuerto
1428,2011,360,32.5,35.5,6.0,5.0,91,22.583516483516487,13.522222222222222,Santiago De Compostela Aeropuerto
1428,2012,361,31.939999999999998,35.0,10.0,4.0,90,22.03777777777778,12.559833795013851,Santiago De Compostela Aeropuerto
1428,2013,360,35.89200000000003,38.5,28.0,22.0,91,26.2978021978022,13.453888888888887,Santiago De Compostela Aeropuerto
1428,2014,362,32.6,35.1,13.0,6.0,91,24.979120879120877,13.922437673130194,Santiago De Compostela Aeropuerto
1428,2015,364,33.211,37.8,15.0,6.0,91,26.007692307692306,14.124175824175824,Santiago De Compostela Aeropuerto
1428,2016,365,36.236000000000004,39.0,25.0,13.0,92,26.516304347826086,13.763013698630138,Santiago De Compostela Aeropuerto
1428,2017,365,33.372,36.2,14.0,11.0,92,24.77282608695652,13.838904109589041,Santiago De Compostela Aeropuerto
1428,2018,365,33.4,36.2,19.0,10.0,92,24.04021739130435,13.1386301369863,Santiago De Compostela Aeropuerto
1428,2019,365,31.444000000000006,32.6,8.0,2.0,92,22.948913043478257,12.97835616438356,Santiago De Compostela Aeropuerto
1428,2020,366,33.2,35.7,20.0,8.0,92,24.43478260869565,13.984426229508195,Santiago De Compostela Aeropuerto
1428,2021,365,30.116000000000007,34.1,4.0,2.0,92,22.914130434782606,13.154520547945204,Santiago De Compostela Aeropuerto
1428,2022,365,34.980000000000004,38.5,22.0,11.0,92,25.46195652173913,14.092328767123284,Santiago De Compostela Aeropuerto
1428,2023,364,31.407000000000007,36.6,11.0,4.0,91,24.46483516483516,14.051648351648351,Santiago De Compostela Aeropuerto
1428,2024,365,31.380000000000006,33.0,6.0,3.0,92,23.920652173913048,13.731404958677686,Santiago De Compostela Aeropuerto
1428,2025,364,32.336999999999996,34.5,17.0,6.0,92,25.326086956521735,13.798076923076923,Santiago De Compostela Aeropuerto
1435C,2015,354,32.04099999999999,34.4,12.0,4.0,92,24.292391304347827,14.90367231638418,Noia
1435C,2016,364,32.937,37.7,18.0,7.0,92,25.853260869565222,14.789010989010988,Noia
1435C,2017,365,32.572,35.7,13.0,8.0,92,24.922826086956523,15.165205479452053,Noia
1435C,2019,347,31.416000000000007,33.6,10.0,3.0,91,23.298901098901098,14.73458213256484,Noia
1435C,2020,365,32.236000000000004,34.7,13.0,5.0,91,24.46483516483517,15.06054794520548,Noia
1435C,2021,365,31.272000000000002,34.4,7.0,2.0,92,23.06847826086957,14.577260273972602,Noia
1435C,2022,365,35.572,39.4,20.0,10.0,92,25.133695652173916,15.547945205479452,Noia
1435C,2023,352,32.545,37.3,12.0,6.0,92,25.411956521739132,16.15596590909091,Noia
1435C,2024,342,33.07699999999999,36.1,23.0,12.0,92,25.97717391304348,16.2366568914956,Noia
1435C,2025,361,34.48,36.3,26.0,15.0,91,27.128571428571423,15.787222222222221,Noia
1437O,2000,365,25.544000000000004,28.4,0.0,0.0,92,16.7445652173913,9.001917808219178,Monte Iroite
1437O,2001,364,27.6,31.7,1.0,0.0,92,19.10217391304348,10.525484764542936,Monte Iroite
1437O,2002,332,25.934999999999995,28.8,0.0,0.0,92,18.210869565217394,11.306097560975608,Monte Iroite
1437O,2006,365,31.444000000000006,35.0,7.0,3.0,92,22.400000000000002,11.898895027624308,Monte Iroite
1437O,2007,365,28.208000000000006,33.8,2.0,1.0,92,19.001086956521743,11.186813186813186,Monte Iroite
1437O,2008,366,25.810000000000013,28.8,0.0,0.0,92,18.519565217391307,10.866939890710382,Monte Iroite
1437O,2010,344,30.455999999999996,32.8,6.0,2.0,92,21.405434782608694,11.219241982507288,Monte Iroite
1437O,2012,341,29.620000000000005,32.7,3.0,2.0,92,18.815217391304348,10.93841642228739,Monte Iroite
1437O,2013,339,31.896000000000004,34.5,6.0,4.0,92,20.52173913043478,11.063421828908554,Monte Iroite
1437O,2015,341,30.04000000000001,33.1,4.0,2.0,87,21.188505747126438,12.326686217008797,Monte Iroite
1442U,2000,366,33.0,36.0,12.0,7.0,92,24.88586956521739,14.954098360655735,Boiro
1442U,2001,365,33.68000000000001,36.0,15.0,7.0,92,25.07608695652174,15.1,Boiro
1442U,2002,365,32.0,34.0,9.0,5.0,92,25.070652173913043,15.379726027397261,Boiro
1442U,2003,364,34.74000000000001,39.0,30.0,16.0,92,26.33695652173913,15.531043956043954,Boiro
1442U,2004,366,34.0,36.5,23.0,9.0,92,25.940217391304348,15.16904109589041,Boiro
1442U,2005,365,35.68000000000001,39.5,26.0,14.0,92,26.88586956521739,15.24904109589041,Boiro
1442U,2006,365,35.0,36.0,37.0,21.0,92,27.842391304347824,15.87205479452055,Boiro
1442U,2009,360,31.8,33.0,10.0,3.0,92,23.72500000000001,14.964722222222223,Boiro
1442U,2010,362,33.577999999999996,37.2,28.0,11.0,92,26.160869565217393,14.957734806629837,Boiro
1442U,2011,360,31.5,34.9,14.0,2.0,87,23.6183908045977,15.34138888888889,Boiro
1442U,2012,366,30.640000000000008,33.8,7.0,1.0,92,22.573913043478264,14.197814207650271,Boiro
1442U,2013,358,33.886,37.0,19.0,13.0,92,24.6391304347826,14.740782122905028,Boiro
1442U,2014,365,29.536,31.0,2.0,0.0,92,23.38369565217392,14.976438356164383,Boiro
1442U,2015,359,32.142,34.0,8.0,6.0,89,24.04494382022472,14.900835654596099,Boiro
1442U,2016,349,32.97599999999998,38.5,16.0,7.0,92,25.869565217391308,15.07191977077364,Boiro
1442U,2017,365,32.272000000000006,36.0,9.0,5.0,92,24.708695652173915,14.988767123287673,Boiro
1442U,2019,351,32.05,33.8,13.0,5.0,91,24.176923076923075,14.723931623931625,Boiro
1442U,2020,365,34.936,38.2,33.0,14.0,91,26.5,15.610958904109589,Boiro
1442U,2021,364,33.648,36.5,14.0,7.0,92,25.394565217391307,15.055494505494504,Boiro
1442U,2022,364,37.336999999999996,40.6,26.0,16.0,92,27.219565217391303,15.842857142857142,Boiro
1442U,2023,364,32.059000000000005,36.4,14.0,4.0,92,27.008695652173916,15.87032967032967,Boiro
1442U,2024,366,33.74000000000001,36.8,23.0,14.0,92,26.74782608695652,15.828961748633882,Boiro
1442U,2025,365,34.872,36.7,30.0,15.0,92,27.60760869565217,15.703561643835615,Boiro
1446X,2018,365,33.91600000000001,37.5,18.0,7.0,92,24.060869565217395,12.255616438356162,Monterroso
1446X,2020,365,33.16000000000001,35.8,19.0,7.0,92,24.304347826086957,13.126301369863013,Monterroso
1446X,2021,353,31.544000000000004,34.2,9.0,1.0,92,23.653260869565216,12.59915014164306,Monterroso
1446X,2022,364,36.455000000000005,37.5,24.0,13.0,91,25.89120879120879,13.553846153846155,Monterroso
1446X,2023,363,32.738,38.4,15.0,5.0,92,25.452173913043477,13.59228650137741,Monterroso
1446X,2024,366,32.77500000000001,34.7,13.0,8.0,92,25.071739130434782,13.197267759562841,Monterroso
1446X,2025,365,35.872,37.7,34.0,20.0,92,26.777173913043484,13.496164383561645,Monterroso
1455I,2015,362,30.339,34.3,8.0,2.0,91,24.245054945054942,11.558839779005526,Rodeiro-Vilamaior
1455I,2016,361,33.48,35.8,14.0,7.0,91,24.49010989010989,11.369806094182826,Rodeiro-Vilamaior
1455I,2017,359,32.3,35.4,13.0,5.0,89,24.16179775280899,11.87381615598886,Rodeiro-Vilamaior
1455I,2019,333,30.736,33.2,6.0,1.0,92,22.55652173913043,11.442642642642642,Rodeiro-Vilamaior
