n_dias,d_tx30,d_tx32,d_tx35,tx_p99,tx_max,tx_verano,noches_trop,tmean,d_helada,hx_p99,d_hx35,estacion,anio,id,concello,provincia,lat,lon,alt
365,6.0,3.0,0.0,31.104400000000012,34.14,20.936739130434784,5.0,11.776821917808222,6.0,40.8285591745176,20.0,10052,2018,10052,LOUSAME,A Coruña,42.745583,-8.776306,661.0
365,1.0,0.0,0.0,28.2344,30.02,19.69217391304348,1.0,11.829465753424655,0.0,34.278005202980346,3.0,10052,2019,10052,LOUSAME,A Coruña,42.745583,-8.776306,661.0
366,4.0,0.0,0.0,29.568000000000016,31.29,20.592391304347824,3.0,12.212499999999999,0.0,38.74507967809339,15.0,10052,2020,10052,LOUSAME,A Coruña,42.745583,-8.776306,661.0
365,2.0,2.0,0.0,27.3744,34.18,19.69076086956522,0.0,11.817876712328768,4.0,35.17961526395782,5.0,10052,2021,10052,LOUSAME,A Coruña,42.745583,-8.776306,661.0
365,7.0,3.0,1.0,30.89920000000001,35.37,21.84663043478261,9.0,12.726410958904111,1.0,40.01600388567183,16.0,10052,2022,10052,LOUSAME,A Coruña,42.745583,-8.776306,661.0
365,2.0,1.0,0.0,28.082800000000002,32.82,20.79521739130435,5.0,12.784301369863014,1.0,36.511110026290964,6.0,10052,2023,10052,LOUSAME,A Coruña,42.745583,-8.776306,661.0
366,1.0,0.0,0.0,28.11200000000002,31.55,20.797391304347826,2.0,12.458360655737705,2.0,38.17226527709095,7.0,10052,2024,10052,LOUSAME,A Coruña,42.745583,-8.776306,661.0
365,6.0,1.0,0.0,31.2176,33.27,22.47858695652174,3.0,12.661876712328768,0.0,40.556473755422715,21.0,10052,2025,10052,LOUSAME,A Coruña,42.745583,-8.776306,661.0
365,16.0,3.0,0.0,31.6108,34.82,24.88217391304348,0.0,12.375767123287671,48.0,44.158768039136554,56.0,10053,2010,10053,LUGO,Lugo,42.992695,-7.546897,400.0
365,21.0,6.0,3.0,32.381600000000006,36.13,24.180978260869562,0.0,13.36054794520548,25.0,45.8668149838853,53.0,10053,2011,10053,LUGO,Lugo,42.992695,-7.546897,400.0
366,25.0,13.0,3.0,34.215500000000006,36.55,24.73967391304348,0.0,12.480081967213115,48.0,49.21832201750997,47.0,10053,2012,10053,LUGO,Lugo,42.992695,-7.546897,400.0
365,16.0,7.0,1.0,32.9208,35.4,25.09510869565217,0.0,12.531561643835618,27.0,45.55666763109375,45.0,10053,2013,10053,LUGO,Lugo,42.992695,-7.546897,400.0
365,5.0,2.0,1.0,30.024400000000004,35.77,23.76010869565218,0.0,13.112794520547945,9.0,42.065411978780936,30.0,10053,2014,10053,LUGO,Lugo,42.992695,-7.546897,400.0
365,15.0,5.0,0.0,32.9104,34.8,25.71804347826087,1.0,13.216876712328768,25.0,45.58597754268203,46.0,10053,2015,10053,LUGO,Lugo,42.992695,-7.546897,400.0
366,28.0,16.0,5.0,35.587000000000025,39.35,26.416739130434774,0.0,12.904084699453554,29.0,51.13151434800503,56.0,10053,2016,10053,LUGO,Lugo,42.992695,-7.546897,400.0
365,16.0,9.0,5.0,35.120000000000005,39.28,26.145434782608692,0.0,13.343931506849314,40.0,50.565043028138724,72.0,10053,2017,10053,LUGO,Lugo,42.992695,-7.546897,400.0
365,22.0,10.0,5.0,35.3468,38.12,25.311521739130434,0.0,13.047698630136987,25.0,52.62889918763208,62.0,10053,2018,10053,LUGO,Lugo,42.992695,-7.546897,400.0
365,16.0,6.0,1.0,32.738400000000006,35.53,25.022173913043474,0.0,12.825561643835616,38.0,46.9584210461593,60.0,10053,2019,10053,LUGO,Lugo,42.992695,-7.546897,400.0
366,30.0,16.0,5.0,35.576500000000024,38.92,25.794456521739132,0.0,13.749576502732241,22.0,52.65806957520972,68.0,10053,2020,10053,LUGO,Lugo,42.992695,-7.546897,400.0
365,17.0,8.0,1.0,33.48000000000001,35.27,24.91217391304348,0.0,12.970205479452055,38.0,49.45357090228452,52.0,10053,2021,10053,LUGO,Lugo,42.992695,-7.546897,400.0
365,30.0,20.0,6.0,37.52880000000001,40.62,27.03108695652174,0.0,14.041698630136985,35.0,57.31667262643691,76.0,10053,2022,10053,LUGO,Lugo,42.992695,-7.546897,400.0
365,23.0,13.0,1.0,34.01800000000001,40.16,26.98836956521739,0.0,14.130739726027398,37.0,50.7122070828948,94.0,10053,2023,10053,LUGO,Lugo,42.992695,-7.546897,400.0
366,21.0,7.0,2.0,33.737,37.03,26.084891304347824,0.0,13.700710382513659,17.0,49.28231414375163,56.0,10053,2024,10053,LUGO,Lugo,42.992695,-7.546897,400.0
365,33.0,23.0,10.0,36.4732,38.07,27.7054347826087,0.0,13.931630136986302,24.0,56.008186590870324,80.0,10053,2025,10053,LUGO,Lugo,42.992695,-7.546897,400.0
365,2.0,0.0,0.0,28.911600000000007,31.56,21.31695652173913,0.0,10.713397260273972,33.0,38.173142648968344,18.0,10055,2010,10055,VILALBA,Lugo,43.226593,-7.783072,684.0
365,3.0,3.0,0.0,29.198800000000002,33.1,20.27978260869565,1.0,11.924136986301368,9.0,39.20630752966265,17.0,10055,2011,10055,VILALBA,Lugo,43.226593,-7.783072,684.0
366,8.0,2.0,0.0,31.366000000000007,32.57,21.094021739130433,0.0,11.304890710382514,13.0,42.00499429455774,23.0,10055,2012,10055,VILALBA,Lugo,43.226593,-7.783072,684.0
365,5.0,0.0,0.0,30.76760000000001,31.79,21.655434782608694,0.0,10.978342465753425,15.0,39.06575608544599,24.0,10055,2013,10055,VILALBA,Lugo,43.226593,-7.783072,684.0
365,1.0,0.0,0.0,25.99920000000001,30.82,20.521521739130435,0.0,11.447506849315069,9.0,36.254401289475005,6.0,10055,2014,10055,VILALBA,Lugo,43.226593,-7.783072,684.0
365,2.0,0.0,0.0,28.832400000000003,31.52,22.13804347826087,0.0,11.617068493150684,8.0,39.67361852364538,18.0,10055,2015,10055,VILALBA,Lugo,43.226593,-7.783072,684.0
